Description,Price,Rating,Review Count,URL
SENNHEISER HD 599 SE Around Ear Open Back Headphone,$98.88,4.7 out of 5 stars,"1,107",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05826312TGV8LAQE0TS7&url=%2FSennheiser-HD-599-SE-Headphone%2Fdp%2FB07RFNZYJZ%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624349990%26sr%3D8-1-spons%26psc%3D1&qualifier=1624349990&id=3275199159344379&widgetName=sp_atf
"Philips Audio SHP9600MB Wired Headphones with Microphone -Over-Ear Open-Back Headset, 50 mm Neodymium Drivers (SHP9600MB) - Black",$99.99,4.6 out of 5 stars,"6,253",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01866223PXZZ6V2W1YC8&url=%2FPhilips-Audio-SHP9600MB-Headphones-Microphone%2Fdp%2FB091ZMKWT4%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624349990%26sr%3D8-2-spons%26psc%3D1%26smid%3DA6EGA15UEFYEQ&qualifier=1624349990&id=3275199159344379&widgetName=sp_atf
Apple EarPods with Lightning Connector - White,$17.10,4.7 out of 5 stars,"137,964",https://www.amazon.com/Apple-EarPods-Lightning-Connector-White/dp/B01M0GB8CC/ref=sr_1_3?dchild=1&keywords=Headphones&qid=1624349990&sr=8-3
"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",$14.98,4.5 out of 5 stars,"16,594",https://www.amazon.com/PeohZarr-Headphones-Microphone-Lightweight-Smartphone/dp/B07SHH37M6/ref=sr_1_4?dchild=1&keywords=Headphones&qid=1624349990&sr=8-4
"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",$49.99,4.4 out of 5 stars,"77,537",https://www.amazon.com/Cancelling-Headphones-Bluetooth-Microphone-Comfortable/dp/B019U00D7K/ref=sr_1_5?dchild=1&keywords=Headphones&qid=1624349990&sr=8-5
"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control - Black",$299.00,4.7 out of 5 stars,"49,561",https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B0756CYWWD/ref=sr_1_6?dchild=1&keywords=Headphones&qid=1624349990&sr=8-6
Amazon Basics Over-Ear Studio Monitor Headphones - Black,$40.32,4.3 out of 5 stars,683,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06639792Z4Z0GQ40YW7T&url=%2FAmazonBasics-Over-Ear-Studio-Monitor-Headphones%2Fdp%2FB07GFGJPNQ%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1624349990%26sr%3D8-7-spons%26psc%3D1&qualifier=1624349990&id=3275199159344379&widgetName=sp_mtf
Bluetooth Headphones 4-Mics Call Noise Reduction 64Hrs Occiam Wireless Earbuds IPX7 Waterproof Over Ear Earphones with 2200mAh Charging Case as Power Bank for Sports Running Workout Gaming,$42.99,4.8 out of 5 stars,764,https://www.amazon.com/Bluetooth-Headphones-Reduction-Waterproof-Earphones/dp/B092H1NQ19/ref=sr_1_8?dchild=1&keywords=Headphones&qid=1624349990&sr=8-8
TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,$29.99,4.4 out of 5 stars,"225,956",https://www.amazon.com/TOZO-Bluetooth-Wireless-Headphones-Waterproof/dp/B07J2Z5DBM/ref=sr_1_9?dchild=1&keywords=Headphones&qid=1624349990&sr=8-9
"Sony ZX Series Wired On-Ear Headphones, White MDR-ZX110",$9.99,4.5 out of 5 stars,"56,897",https://www.amazon.com/Sony-Wired-Headphones-MDRZX110-WHI/dp/B00NJ2M43M/ref=sr_1_10?dchild=1&keywords=Headphones&qid=1624349990&sr=8-10
